Sample	Unique Reads	Duplicate Reads
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG443 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG443_1	25016802	4327212
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG442 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG442_2	26814239	3753476
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG442 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG442_1	26429699	4138016
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG441 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG441_2	17552998	3310593
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG441 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG441_1	17236144	3627447
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG440 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG440_2	16042968	3781318
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG440 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG440_1	15738683	4085603
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG439 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG439_2	16602838	2860780
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG439 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG439_1	16198367	3265251
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG438 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG438_2	21538946	3852691
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG438 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG438_1	21165204	4226433
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG437 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG437_2	24644286	9029652
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG437 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG437_1	23601451	10072487
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG436 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG436_2	23585784	2107504
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG436 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG436_1	23333544	2359744
