Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG214 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG214_2	(1.0, 75.32522353603062)	(2.0, 16.97230645335236)	(3.0, 4.672660053829356)	(4.0, 1.4731930420409556)	(5.0, 0.5883836442381746)	(6.0, 0.2533310462435079)	(7.0, 0.15097457745488976)	(8.0, 0.12193332294493557)	(9.0, 0.08575910259239308)	('>10', 0.30817708799430416)	('>50', 0.01090715507906766)	('>100', 0.00830683477010485)	('>500', 0.004136243780568027)	('>1k', 0.007548494246352828)	('>5k', 0.017159405402423455)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG215 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG215_1	(1.0, 74.41401291171168)	(2.0, 15.30939971379001)	(3.0, 4.843965496050274)	(4.0, 2.108161592028477)	(5.0, 1.0385630817995126)	(6.0, 0.6294597391861364)	(7.0, 0.359923688810052)	(8.0, 0.26278138436354526)	(9.0, 0.17342388721353685)	('>10', 0.5756957576127425)	('>50', 0.007691753371999837)	('>100', 0.014359980991865922)	('>500', 0.012214316527309666)	('>1k', 0.015976746321160792)	('>5k', 0.0)	('>10k+', 0.23436995022170057)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG215 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG215_2	(1.0, 75.8685965325053)	(2.0, 14.494327187120803)	(3.0, 4.705834410048075)	(4.0, 2.0447791878645685)	(5.0, 0.9977398966209009)	(6.0, 0.5785774281617614)	(7.0, 0.358730984819952)	(8.0, 0.22604341406484355)	(9.0, 0.16775542506764718)	('>10', 0.5114892744864414)	('>50', 0.0033040084945927424)	('>100', 0.010895329861692121)	('>500', 0.008129613536440195)	('>1k', 0.005768520318277343)	('>5k', 0.01802878702870197)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG216 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG216_1	(1.0, 83.19738925213261)	(2.0, 12.865320496101445)	(3.0, 2.4299489802936036)	(4.0, 0.6101708928526038)	(5.0, 0.1916601282979214)	(6.0, 0.10451908998374576)	(7.0, 0.07548959179355275)	(8.0, 0.061492031568888945)	(9.0, 0.03230738726259724)	('>10', 0.1682092725690998)	('>50', 0.011109130954911988)	('>100', 0.015878493483642113)	('>500', 0.0)	('>1k', 0.07112256188558125)	('>5k', 0.03763776652070596)	('>10k+', 0.127744924299106)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG216 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG216_2	(1.0, 84.7087452530901)	(2.0, 11.980910801367099)	(3.0, 2.1081335802392793)	(4.0, 0.5511807336551725)	(5.0, 0.19707895359080593)	(6.0, 0.09868983113190874)	(7.0, 0.06555736695335487)	(8.0, 0.046465161858296244)	(9.0, 0.03945439319147167)	('>10', 0.16022318595756616)	('>50', 0.0043915831857559064)	('>100', 0.013754217790494246)	('>500', 0.0)	('>1k', 0.006267533032632214)	('>5k', 0.01914740495606969)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG217 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG217_1	(1.0, 62.49172803118645)	(2.0, 22.31708957661208)	(3.0, 8.436979234817306)	(4.0, 3.2733903399486195)	(5.0, 1.3477672575488449)	(6.0, 0.6582207457827257)	(7.0, 0.33356514602869436)	(8.0, 0.19114845057943583)	(9.0, 0.10476708606966967)	('>10', 0.5699287181372029)	('>50', 0.029227471382811936)	('>100', 0.013768246148617954)	('>500', 0.003871584758098687)	('>1k', 0.011044423550183478)	('>5k', 0.0)	('>10k+', 0.21750368744921728)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG217 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG217_2	(1.0, 65.22531460291329)	(2.0, 21.040426503609506)	(3.0, 7.750499752017357)	(4.0, 3.0565654317926145)	(5.0, 1.2059668301191087)	(6.0, 0.5328949348891259)	(7.0, 0.3121048592572854)	(8.0, 0.19355880203335082)	(9.0, 0.104982677003714)	('>10', 0.5156651603556045)	('>50', 0.025109991948069104)	('>100', 0.009322187992961082)	('>500', 0.0024311227306047503)	('>1k', 0.0084147581671285)	('>5k', 0.016742385170304932)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG218 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG218_1	(1.0, 62.33305282237044)	(2.0, 20.64512514142301)	(3.0, 8.739716882076827)	(4.0, 3.93290935340608)	(5.0, 1.8312758696784934)	(6.0, 0.9092790778805991)	(7.0, 0.444675547206931)	(8.0, 0.2221166799184517)	(9.0, 0.15598029674601602)	('>10', 0.4523700086383019)	('>50', 0.01830719629181813)	('>100', 0.025194462532315744)	('>500', 0.004414157880019036)	('>1k', 0.02636768421651453)	('>5k', 0.0)	('>10k+', 0.2592148197341728)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG218 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG218_2	(1.0, 64.9444235797304)	(2.0, 19.47106889879117)	(3.0, 8.102675807515112)	(4.0, 3.6403853074391845)	(5.0, 1.7416820127756985)	(6.0, 0.8161565470177059)	(7.0, 0.415638062404523)	(8.0, 0.22672288896342674)	(9.0, 0.13822314589167212)	('>10', 0.43692920463631196)	('>50', 0.017241686009638345)	('>100', 0.01865228422096702)	('>500', 0.00211134970769072)	('>1k', 0.007638674311536185)	('>5k', 0.02045055058496506)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG219 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG219_1	(1.0, 61.869426801053386)	(2.0, 19.29831601279924)	(3.0, 8.514069937374918)	(4.0, 4.054970202086534)	(5.0, 2.028330934470924)	(6.0, 1.057216602724513)	(7.0, 0.545421789594153)	(8.0, 0.29673151524072156)	(9.0, 0.20145607635662743)	('>10', 1.6191335051050475)	('>50', 0.204278501715526)	('>100', 0.07267398919941186)	('>500', 0.012603662872746037)	('>1k', 0.04847755076122217)	('>5k', 0.015088666426598708)	('>10k+', 0.16180425221844252)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG219 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG219_2	(1.0, 64.78457024082225)	(2.0, 18.398474665761647)	(3.0, 7.803740985662573)	(4.0, 3.6366928581100786)	(5.0, 1.80784462599435)	(6.0, 0.9318261274647535)	(7.0, 0.43083045236208245)	(8.0, 0.2862781180706276)	(9.0, 0.1806881824054378)	('>10', 1.5025945502401286)	('>50', 0.14576288819783093)	('>100', 0.06173843238254863)	('>500', 0.003996751247955568)	('>1k', 0.00768916656126242)	('>5k', 0.017271954716549815)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG220 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG220_1	(1.0, 76.88252645854203)	(2.0, 16.45727057767863)	(3.0, 3.9594754549201276)	(4.0, 1.1311329822686362)	(5.0, 0.36616694705925146)	(6.0, 0.2006402605041033)	(7.0, 0.1445065527476685)	(8.0, 0.08811634985933516)	(9.0, 0.08527103222607334)	('>10', 0.4265391461675785)	('>50', 0.016203428119437587)	('>100', 0.005894782718269769)	('>500', 0.0)	('>1k', 0.10757981541723778)	('>5k', 0.07176225742250657)	('>10k+', 0.05691395434913296)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG220 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG220_2	(1.0, 78.44195373124118)	(2.0, 15.639007212467268)	(3.0, 3.7209584364298434)	(4.0, 1.0087933695473879)	(5.0, 0.35483740277644477)	(6.0, 0.16670758659172308)	(7.0, 0.12050423857095469)	(8.0, 0.07104550285619171)	(9.0, 0.07120640058174846)	('>10', 0.364979273691229)	('>50', 0.011484409676810359)	('>100', 0.006165450653261799)	('>500', 0.0)	('>1k', 0.022356984915966122)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG221 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG221_1	(1.0, 76.30825788141523)	(2.0, 15.455324660889621)	(3.0, 4.55693903378914)	(4.0, 1.6736948917344463)	(5.0, 0.6255480674533035)	(6.0, 0.3031927468504031)	(7.0, 0.17795925820301742)	(8.0, 0.10572355628942016)	(9.0, 0.08571093286789665)	('>10', 0.40603416346157845)	('>50', 0.006621431603348742)	('>100', 0.014616094126596311)	('>500', 0.009218391015140822)	('>1k', 0.011148091949928185)	('>5k', 0.0)	('>10k+', 0.2600107983508583)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG221 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG221_2	(1.0, 77.74464735456411)	(2.0, 14.738346758193654)	(3.0, 4.388185594111473)	(4.0, 1.4993218288301662)	(5.0, 0.6452280053372539)	(6.0, 0.2938966510561861)	(7.0, 0.14615480005424594)	(8.0, 0.09993399764147048)	(9.0, 0.07379613246861322)	('>10', 0.33161549968556575)	('>50', 0.004365383180075527)	('>100', 0.010986366162312543)	('>500', 0.0)	('>1k', 0.005770943158243579)	('>5k', 0.017750685556539813)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG222 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG222_1	(1.0, 77.9957362214649)	(2.0, 15.156685299094343)	(3.0, 4.062395468664048)	(4.0, 1.3308642537754025)	(5.0, 0.5093763111342915)	(6.0, 0.2429720975355177)	(7.0, 0.1357189726717494)	(8.0, 0.07650430928331521)	(9.0, 0.06047680241199954)	('>10', 0.20470994815746688)	('>50', 0.006584509366543125)	('>100', 0.009951986826422064)	('>500', 0.004434870706803846)	('>1k', 0.007040786084720769)	('>5k', 0.0)	('>10k+', 0.1965481628225318)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG222 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG222_2	(1.0, 79.8737408908894)	(2.0, 14.288424898293913)	(3.0, 3.558971065299575)	(4.0, 1.1377038987274075)	(5.0, 0.45004780930573)	(6.0, 0.2152576586421087)	(7.0, 0.11481896967338995)	(8.0, 0.07462841597624316)	(9.0, 0.04847046717046558)	('>10', 0.2019245204856233)	('>50', 0.008682722924255716)	('>100', 0.005644265330621097)	('>500', 0.0)	('>1k', 0.0055185828204433055)	('>5k', 0.016165834460827564)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG223 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG223_1	(1.0, 78.03632242310572)	(2.0, 14.576554998375144)	(3.0, 4.087595067510354)	(4.0, 1.378393665847303)	(5.0, 0.6256808967956601)	(6.0, 0.3139158425369678)	(7.0, 0.1774044919779243)	(8.0, 0.10906075941133171)	(9.0, 0.0920615928907749)	('>10', 0.34558666515555225)	('>50', 0.008060338322694774)	('>100', 0.015246530560539836)	('>500', 0.008429666637075197)	('>1k', 0.025215044743816722)	('>5k', 0.019553705079998)	('>10k+', 0.18091831104911346)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG223 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG223_2	(1.0, 79.95274061668805)	(2.0, 13.63258157215294)	(3.0, 3.669072118178376)	(4.0, 1.2898856754074204)	(5.0, 0.5122663773420812)	(6.0, 0.27424477567186945)	(7.0, 0.1565640556586017)	(8.0, 0.0930976275322549)	(9.0, 0.08008806769716861)	('>10', 0.30214691067804966)	('>50', 0.004500256587819696)	('>100', 0.00734267857814341)	('>500', 0.0)	('>1k', 0.006141215209200581)	('>5k', 0.01932805261803033)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG224 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG224_1	(1.0, 76.51230169110501)	(2.0, 14.734632342045384)	(3.0, 4.0148805027429)	(4.0, 1.6260259155879242)	(5.0, 0.7467981395309906)	(6.0, 0.42639978417112634)	(7.0, 0.29823810951560964)	(8.0, 0.214006554049545)	(9.0, 0.18002403064208514)	('>10', 0.929238108475257)	('>50', 0.01688808636452946)	('>100', 0.019534408652226356)	('>500', 0.009325427137551101)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.27170689997981745)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG224 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG224_2	(1.0, 77.94447930835433)	(2.0, 14.118105976672274)	(3.0, 3.785847194268804)	(4.0, 1.4615500068867135)	(5.0, 0.7175617639676991)	(6.0, 0.4154182100704149)	(7.0, 0.28285534039575355)	(8.0, 0.2125412183048309)	(9.0, 0.16629711719430376)	('>10', 0.8449388689051278)	('>50', 0.011225791215128593)	('>100', 0.013870187218037205)	('>500', 0.0027989320495970197)	('>1k', 0.022510084496996485)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG225 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG225_1	(1.0, 74.73493494222079)	(2.0, 14.912014699029783)	(3.0, 3.882171772224733)	(4.0, 1.5067777180783368)	(5.0, 0.8864043603669439)	(6.0, 0.657051495242048)	(7.0, 0.4531778454003223)	(8.0, 0.3845722866198808)	(9.0, 0.2917340917020027)	('>10', 1.7350221327960598)	('>50', 0.05883040181209015)	('>100', 0.025216784038173286)	('>500', 0.008341970076656614)	('>1k', 0.15660231584777462)	('>5k', 0.17486119226037364)	('>10k+', 0.13228599228407642)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG225 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG225_2	(1.0, 76.09077773655541)	(2.0, 14.30368894023521)	(3.0, 3.6596028910799263)	(4.0, 1.4974672605116808)	(5.0, 0.8599889938763585)	(6.0, 0.5999159944473113)	(7.0, 0.443956307061229)	(8.0, 0.42738220498502855)	(9.0, 0.33223763776052756)	('>10', 1.7057968529676744)	('>50', 0.0402194503650836)	('>100', 0.013381578986716245)	('>500', 0.00486245957266405)	('>1k', 0.020721691595249822)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG226 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG226_1	(1.0, 77.92073910800968)	(2.0, 15.31183802871498)	(3.0, 3.941530870201481)	(4.0, 1.220791147379687)	(5.0, 0.42630024573955605)	(6.0, 0.20896743362360579)	(7.0, 0.1277930543337794)	(8.0, 0.07155661153522302)	(9.0, 0.05551899944192978)	('>10', 0.413348944793729)	('>50', 0.0176951135778972)	('>100', 0.013251036719290218)	('>500', 0.012846071672490807)	('>1k', 0.003916029745822404)	('>5k', 0.0)	('>10k+', 0.2539073045108609)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG226 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG226_2	(1.0, 79.90007886123179)	(2.0, 14.259088133944593)	(3.0, 3.547111345341098)	(4.0, 1.0179319421755906)	(5.0, 0.41123518094047706)	(6.0, 0.18529793473689127)	(7.0, 0.14020160831944187)	(8.0, 0.06162445719239514)	(9.0, 0.06070986060406351)	('>10', 0.3649383412229633)	('>50', 0.010042143184724578)	('>100', 0.01319240263698174)	('>500', 0.0)	('>1k', 0.006644825583873156)	('>5k', 0.021902962885120645)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG227 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG227_1	(1.0, 87.52434658172318)	(2.0, 9.86024181750599)	(3.0, 1.5183442233345184)	(4.0, 0.39179278232710135)	(5.0, 0.13594366759168425)	(6.0, 0.08680729625060528)	(7.0, 0.04249509532194112)	(8.0, 0.03245416270879902)	(9.0, 0.02541502419895418)	('>10', 0.12544801518549292)	('>50', 0.009358517452169205)	('>100', 0.026098491085515013)	('>500', 0.020879220759316305)	('>1k', 0.12588909787365937)	('>5k', 0.07448600668103227)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG227 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG227_2	(1.0, 88.52885519122322)	(2.0, 9.268259561679637)	(3.0, 1.436925920855661)	(4.0, 0.3200760847437712)	(5.0, 0.14023985239176295)	(6.0, 0.05865625861185817)	(7.0, 0.04663082445474047)	(8.0, 0.037596296277927745)	(9.0, 0.02240749335163917)	('>10', 0.1092051699334625)	('>50', 0.004630371061655128)	('>100', 0.0032473297983928616)	('>500', 0.004569706238614567)	('>1k', 0.01869993937767724)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG228 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG228_1	(1.0, 87.45411280842174)	(2.0, 9.937395719505675)	(3.0, 1.605902381244448)	(4.0, 0.37417092609611363)	(5.0, 0.11860120208709304)	(6.0, 0.06847961663767746)	(7.0, 0.041369572799931795)	(8.0, 0.023252477613380163)	(9.0, 0.017220033315643445)	('>10', 0.09890849291334715)	('>50', 0.006788853616909019)	('>100', 0.014545378863709775)	('>500', 0.005577203643761758)	('>1k', 0.027461936119298636)	('>5k', 0.0)	('>10k+', 0.20621339712125283)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG228 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG228_2	(1.0, 88.3132467190824)	(2.0, 9.500024518490775)	(3.0, 1.5009706869482522)	(4.0, 0.3086194087844423)	(5.0, 0.11986034227654571)	(6.0, 0.061560413784241694)	(7.0, 0.030334409390961645)	(8.0, 0.021275296820954543)	(9.0, 0.01928641149749841)	('>10', 0.08131599817681559)	('>50', 0.007875673663121264)	('>100', 0.012553250373410598)	('>500', 0.0)	('>1k', 0.023076870710567188)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG229 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG229_1	(1.0, 83.97289356000671)	(2.0, 12.153234446247485)	(3.0, 2.081915067680753)	(4.0, 0.5194259029703674)	(5.0, 0.18191753302146)	(6.0, 0.12189410883744103)	(7.0, 0.10198100960863447)	(8.0, 0.09917993515815404)	(9.0, 0.042603577543027966)	('>10', 0.34405556502849083)	('>50', 0.010635173710619587)	('>100', 0.012375803998629495)	('>500', 0.01456417372481595)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.3433241424633854)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG229 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG229_2	(1.0, 85.28476183212018)	(2.0, 11.435505897383049)	(3.0, 1.9241935373048171)	(4.0, 0.4658071922641579)	(5.0, 0.18453301578274722)	(6.0, 0.12128337033067577)	(7.0, 0.09522349480279599)	(8.0, 0.07513520318144384)	(9.0, 0.06716614058692874)	('>10', 0.30304062890837413)	('>50', 0.006946607938507087)	('>100', 0.008199418017509367)	('>500', 0.0)	('>1k', 0.02820366137877163)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG230 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG230_1	(1.0, 81.60940881791731)	(2.0, 13.536770607619571)	(3.0, 2.8457064436832926)	(4.0, 0.8317136460334398)	(5.0, 0.30919600992847907)	(6.0, 0.14280994763935126)	(7.0, 0.08160966725493286)	(8.0, 0.0676265738116571)	(9.0, 0.04246952353051613)	('>10', 0.21065264962321947)	('>50', 0.019139182946826764)	('>100', 0.02216940415752445)	('>500', 0.0033217982961827185)	('>1k', 0.003870003085039237)	('>5k', 0.0)	('>10k+', 0.2735357244726863)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG230 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG230_2	(1.0, 82.71290306725146)	(2.0, 12.941091719496972)	(3.0, 2.764791246645924)	(4.0, 0.736402215857647)	(5.0, 0.3019377562455776)	(6.0, 0.11393553429033658)	(7.0, 0.08080809008740436)	(8.0, 0.05262011935312717)	(9.0, 0.03244005768719974)	('>10', 0.21093861188674892)	('>50', 0.012266844951225287)	('>100', 0.011524419922697178)	('>500', 0.0)	('>1k', 0.005824987190286282)	('>5k', 0.022515329133403275)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG231 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG231_1	(1.0, 81.33885425514573)	(2.0, 13.685218761496424)	(3.0, 3.0197509699044995)	(4.0, 0.7427285900647318)	(5.0, 0.29770644402948077)	(6.0, 0.1545815913364847)	(7.0, 0.09850723137717707)	(8.0, 0.05938800696218302)	(9.0, 0.03931115149800499)	('>10', 0.2440597686108712)	('>50', 0.013107183582833143)	('>100', 0.020413499626304066)	('>500', 0.006761295532222922)	('>1k', 0.056445698075072354)	('>5k', 0.02185868563274225)	('>10k+', 0.20130686712525975)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG231 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG231_2	(1.0, 82.80811771512776)	(2.0, 12.922948053876066)	(3.0, 2.714649851502491)	(4.0, 0.6733347884243285)	(5.0, 0.2924185770014335)	(6.0, 0.13987172382516963)	(7.0, 0.0785982009972183)	(8.0, 0.055498761033510605)	(9.0, 0.04951297174066688)	('>10', 0.21149735383782833)	('>50', 0.008725442538651245)	('>100', 0.013653547534723089)	('>500', 0.0018688966182149706)	('>1k', 0.0063304671517907946)	('>5k', 0.022973648790102944)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG232 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG232_1	(1.0, 82.94113530849974)	(2.0, 12.788024772404619)	(3.0, 2.6099812016613977)	(4.0, 0.6688339941131196)	(5.0, 0.2406933525805466)	(6.0, 0.10949390407016216)	(7.0, 0.055339640230124866)	(8.0, 0.0382972021719695)	(9.0, 0.032302999315341106)	('>10', 0.12944432168549763)	('>50', 0.03338135948594091)	('>100', 0.021344468552022655)	('>500', 0.013071545074089507)	('>1k', 0.038030622387013276)	('>5k', 0.06383220160298354)	('>10k+', 0.2167931061653987)
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG232 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG232_2	(1.0, 84.86179294126964)	(2.0, 11.791018676104962)	(3.0, 2.194625116677402)	(4.0, 0.5693847131905025)	(5.0, 0.19412784223168744)	(6.0, 0.09571092452820124)	(7.0, 0.05449274272147457)	(8.0, 0.034366115042497695)	(9.0, 0.019235848688643174)	('>10', 0.12372018792214545)	('>50', 0.017699131048479616)	('>100', 0.013023414681472145)	('>500', 0.0)	('>1k', 0.006806571936122208)	('>5k', 0.02399577395679865)	('>10k+', 0.0)
