Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_1	(1.0, 34.186845403169954)	(2.0, 22.605080242454104)	(3.0, 14.998166648244492)	(4.0, 9.6279730524447)	(5.0, 6.242799831053629)	(6.0, 4.089874425971219)	(7.0, 2.456001613731583)	(8.0, 1.6728598238588588)	(9.0, 0.9898924233498325)	('>10', 3.028077488235151)	('>50', 0.09251674640274517)	('>100', 0.006656709914887252)	('>500', 0.0032555911688467894)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_2	(1.0, 36.411028745893304)	(2.0, 22.204748583568133)	(3.0, 14.600757686629876)	(4.0, 9.288577105143887)	(5.0, 5.9406444059327645)	(6.0, 3.682211753278488)	(7.0, 2.3666210218703765)	(8.0, 1.492426249726632)	(9.0, 0.9934437800791918)	('>10', 2.859784969085135)	('>50', 0.0965678763468855)	('>100', 0.0033152761163147415)	('>500', 0.007989476422056142)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05188306990695143)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_1	(1.0, 45.44211359617662)	(2.0, 23.85083720267321)	(3.0, 13.06921546371437)	(4.0, 6.866172679988214)	(5.0, 3.7517713594561255)	(6.0, 2.189781139423419)	(7.0, 1.2160107555094917)	(8.0, 0.6995981576313056)	(9.0, 0.42964848362353186)	('>10', 1.8782917819560156)	('>50', 0.4568573829051627)	('>100', 0.1497019969425364)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_2	(1.0, 46.9283058890501)	(2.0, 23.48220831522763)	(3.0, 12.653375157115693)	(4.0, 6.636890948631052)	(5.0, 3.6514226452935845)	(6.0, 2.011591335671802)	(7.0, 1.176469149057362)	(8.0, 0.6752524303981656)	(9.0, 0.4023469132541901)	('>10', 1.8009789451188498)	('>50', 0.4105755743297272)	('>100', 0.1295435288043719)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.04103916804759235)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_1	(1.0, 30.529412593526633)	(2.0, 19.075621179733893)	(3.0, 14.191298027664448)	(4.0, 10.514001077375038)	(5.0, 7.437858079359342)	(6.0, 5.159569545840239)	(7.0, 3.4082723105850525)	(8.0, 2.3527379557306225)	(9.0, 1.478603397025486)	('>10', 4.928933654620224)	('>50', 0.8318135592222147)	('>100', 0.09187861931681268)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_2	(1.0, 33.002665274752026)	(2.0, 18.75338201589974)	(3.0, 13.887610321217672)	(4.0, 10.181728091643585)	(5.0, 7.2319175900264865)	(6.0, 4.878759937173101)	(7.0, 3.191725965956407)	(8.0, 2.0698940584154157)	(9.0, 1.3585322441434182)	('>10', 4.572662760816355)	('>50', 0.7437516942396588)	('>100', 0.07649216844762458)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05087787726850415)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24_1	(1.0, 27.75781817956058)	(2.0, 18.735771954372428)	(3.0, 14.110253796811728)	(4.0, 10.827664169575778)	(5.0, 8.225981343177985)	(6.0, 5.94875002558743)	(7.0, 4.302430462431739)	(8.0, 3.008901583776617)	(9.0, 2.097669141897022)	('>10', 4.927394140684296)	('>50', 0.05469681968667242)	('>100', 0.0026683824377760545)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24_2	(1.0, 30.346606770108448)	(2.0, 18.49697899530607)	(3.0, 13.833202244666479)	(4.0, 10.411712531291686)	(5.0, 7.763614061228941)	(6.0, 5.806591561424867)	(7.0, 4.11669601761149)	(8.0, 2.828568589933519)	(9.0, 1.921571873564382)	('>10', 4.371723685593673)	('>50', 0.031044830366372737)	('>100', 0.0028523690613264045)	('>500', 0.001781730851309912)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06705473899145648)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26_1	(1.0, 60.68960013694533)	(2.0, 21.562876151782294)	(3.0, 8.838548276459287)	(4.0, 3.938844319395783)	(5.0, 1.9520604213653197)	(6.0, 1.1155737137180868)	(7.0, 0.6222397673385038)	(8.0, 0.35153254351540464)	(9.0, 0.1871851190503711)	('>10', 0.7146934977405169)	('>50', 0.018701190882079975)	('>100', 0.008144861807061945)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26_2	(1.0, 62.42428265913114)	(2.0, 20.91420083519988)	(3.0, 8.227795531416799)	(4.0, 3.7871557707342136)	(5.0, 1.8785959402740817)	(6.0, 0.9690100037200502)	(7.0, 0.546274679704104)	(8.0, 0.298822240186451)	(9.0, 0.1850466929629464)	('>10', 0.6864271729745894)	('>50', 0.012017993081559914)	('>100', 0.004856192431903438)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06551428818234434)
