"Drug","FC","abb_strain_name"
"Mycophenolate Mofetil",0.756156954501769,"Control_12"
"Mycophenolate Mofetil",0.756156954501769,"Control_12"
"Mycophenolate Mofetil",0.756156954501769,"Control_12"
"Mycophenolate Mofetil",0.756156954501769,"Control_12"
"Mycophenolate Mofetil",0.756156954501769,"Control_12"
"Mycophenolate Mofetil",0.756156954501769,"Control_12"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.830693746734034,"Control_13"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.772628172243222,"Control_14"
"Mycophenolate Mofetil",0.832485964828461,"Control_15"
"Mycophenolate Mofetil",0.832485964828461,"Control_15"
"Mycophenolate Mofetil",0.832485964828461,"Control_15"
"Mycophenolate Mofetil",0.832485964828461,"Control_15"
"Mycophenolate Mofetil",0.832485964828461,"Control_15"
