Sample	Unique Reads	Duplicate Reads
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28_2	25629011.0	8891851.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3_1	39488769.0	9076329.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3_2	39975172.0	8589926.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31_1	25116540.0	12776844.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31_2	25727142.0	12166242.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32_1	26757391.0	11397339.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32_2	27315837.0	10838893.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33_1	37464030.0	9673509.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33_2	37871721.0	9265818.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34_1	37060577.0	10420365.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34_2	37489499.0	9991443.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35_1	23892837.0	27795484.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35_2	24927910.0	26760411.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37_1	32286251.0	13871820.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37_2	32961570.0	13196501.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38_1	30247592.0	10621528.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38_2	30712889.0	10156231.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4_1	36599429.0	13660403.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4_2	37244563.0	13015269.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG5 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG5_1	31671067.0	11887940.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG5 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG5_2	32220069.0	11338938.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG6 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG6_1	42357416.0	25095120.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG6 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG6_2	43150313.0	24302223.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG9 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG9_1	29542161.0	14094112.0
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG9 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG9_2	30221918.0	13414355.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1662 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1662_1	27060469.0	31478199.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1662 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1662_2	29505335.0	29033333.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1663 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1663_1	20779193.0	6647344.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1663 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1663_2	21301858.0	6124679.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1668 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1668_1	20916260.0	6395279.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1668 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1668_2	21433290.0	5878249.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1671 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1671_1	17867745.0	5206687.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1671 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1671_2	18314564.0	4759868.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1677 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1677_1	16145223.0	5594796.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1677 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1677_2	16559139.0	5180880.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1690 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1690_1	17019047.0	6886193.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1690 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1690_2	17567842.0	6337398.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693_1	18205272.0	6374282.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693_2	18681833.0	5897721.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694_1	11295561.0	4670628.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694_2	11595919.0	4370270.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697_1	14849948.0	4550977.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697_2	15215676.0	4185249.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702_1	18178261.0	6277025.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702_2	18614950.0	5840336.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16_1	24375631.0	102136321.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16_2	31939940.0	94572012.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25_1	33797468.0	112415137.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25_2	42940959.0	103271646.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30_1	8939893.0	9743373.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30_2	10216348.0	8466918.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36_1	18124154.0	7038280.0
