.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG235 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG235_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG236 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG236_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG236 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG236_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG237 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG237_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG237 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG237_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG238 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG238_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG238 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG238_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG239 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG239_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG239 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG239_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG240 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG240_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG240 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG240_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG241 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG241_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG241 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG241_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG242 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG242_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG242 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG242_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG243 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG243_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG243 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG243_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG244 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG244_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG244 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG244_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG245 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG245_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG245 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG245_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG246 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG246_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG246 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG246_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG247 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG247_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG247 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG247_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG248 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG248_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG248 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG248_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG249 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG249_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG249 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG249_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG250 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG250_1	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG250 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG250_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG251 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG251_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG251 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG251_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG252 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG252_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG252 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG252_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG253 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG253_1	1	1	1	1	1	1	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG253 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG253_2	1	1	1	1	1	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG254 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG254_1	1	1	1	1	1	0.25	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG254 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG254_2	1	1	1	1	1	0.25	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG255 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG255_1	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG255 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG255_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG256 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG256_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG256 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG256_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG257 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG257_1	1	1	1	1	1	1	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG257 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG257_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG258 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG258_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG258 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG258_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG259 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG259_1	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG259 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG259_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG260 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG260_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG260 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG260_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG261 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG261_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG261 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG261_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG262 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG262_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG262 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG262_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG263 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG263_1	1	1	1	1	1	0.25	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG263 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG263_2	1	1	1	1	1	0.25	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG264 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG264_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG264 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG264_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG265 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG265_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG265 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG265_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG266 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG266_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG266 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG266_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG267 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG267_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG267 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG267_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG268 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG268_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG268 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG268_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG270 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG270_1	1	1	1	1	0.5	0.25	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG270 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG270_2	1	1	1	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG271 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG271_1	1	1	1	1	1	1	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG271 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG271_2	1	1	1	1	1	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG272 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG272_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG273 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG273_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG273 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG273_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG274 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG274_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG274 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG274_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG275 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG275_1	1	1	1	1	1	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG275 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG275_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG276 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG276_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG276 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG276_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG277 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG277_1	1	1	1	1	1	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG277 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG277_2	1	1	1	1	1	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG278 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG278_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG278 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG278_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG279 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG279_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG279 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG279_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG280 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG280_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG280 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG280_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG281 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG281_1	1	1	1	1	1	1	1	1	1	0.5	1
