Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16_2	0.22528859565774467	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25_2	0.26774709335080926	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30_2	0.3190127464866154	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG39 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG39_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG39 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG39_2	0.20629452560888853	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG40 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG40_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG40 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG40_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG41 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG41_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG41 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG41_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG42 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG42_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG42 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG42_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG43 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG43_1	0.0	0.0
