Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1118 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1118_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1118 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1118_R2_001	0.11804427427348659	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1119 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1119_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1119 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1119_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1120 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1120_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1120 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1120_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1121 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1121_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1121 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1121_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1122 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1122_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1122 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1122_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1123 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1123_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1123 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1123_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1124 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1124_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1124 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1124_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1125 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1125_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1125 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1125_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1126 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1126_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1126 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1126_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1129 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1129_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1129 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1129_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1131 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1131_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1131 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1131_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1132 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1132_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1132 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1132_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1134 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1134_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1134 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1134_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1135 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1135_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1135 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1135_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1136 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1136_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1136 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1136_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1137 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1137_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1137 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1137_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1138 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1138_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1138 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1138_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1140 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1140_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1140 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1140_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1141 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1141_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1141 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1141_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1142 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1142_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1142 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1142_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145_R2_001	0.10863721739486948	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152_R1_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152_R2_001	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127_2	0.2267498602867033	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128_2	0.2067135433474113	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139_2	0.21849955313913674	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151_2	0.134781017841873	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1158 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1158_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1158 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1158_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1159 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1159_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1159 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1159_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1160 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1160_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1160 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1160_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1161 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1161_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1161 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1161_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1163 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1163_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1163 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1163_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1164 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1164_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1164 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1164_2	0.2245746770771414	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1165 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1165_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1165 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1165_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1166 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1166_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1166 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1166_2	0.22392304730006143	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1167 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1167_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1167 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1167_2	0.3052495763075903	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1168 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1168_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1168 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1168_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1169 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1169_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1169 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1169_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1170 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1170_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1170 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1170_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1171 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1171_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1171 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1171_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1172 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1172_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1172 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1172_2	0.1084768154621267	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1173 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1173_1	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1173 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1173_2	0.0	0.0
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1174 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1174_1	0.0	0.0
