Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_2	(14.0, 4.0)	(15.0, 13.0)	(16.0, 64.0)	(17.0, 435.0)	(18.0, 2048.0)	(19.0, 6893.0)	(20.0, 16879.0)	(21.0, 30204.0)	(22.0, 47136.0)	(23.0, 69835.0)	(24.0, 110899.0)	(25.0, 174814.0)	(26.0, 277766.0)	(27.0, 417343.0)	(28.0, 633511.0)	(29.0, 943270.0)	(30.0, 1508813.0)	(31.0, 2763984.0)	(32.0, 8768450.0)	(33.0, 29365151.0)	(34.0, 287280.0)										
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24_1	(18.0, 40.0)	(19.0, 446.0)	(20.0, 2909.0)	(21.0, 10095.0)	(22.0, 23270.0)	(23.0, 41965.0)	(24.0, 74593.0)	(25.0, 131845.0)	(26.0, 228102.0)	(27.0, 367576.0)	(28.0, 577795.0)	(29.0, 853376.0)	(30.0, 1301821.0)	(31.0, 2131404.0)	(32.0, 5758702.0)	(33.0, 34058602.0)	(34.0, 595156.0)														
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24_2	(14.0, 2.0)	(15.0, 4.0)	(16.0, 54.0)	(17.0, 411.0)	(18.0, 2010.0)	(19.0, 6609.0)	(20.0, 16211.0)	(21.0, 28846.0)	(22.0, 43657.0)	(23.0, 64688.0)	(24.0, 103733.0)	(25.0, 166511.0)	(26.0, 267767.0)	(27.0, 407376.0)	(28.0, 628260.0)	(29.0, 951678.0)	(30.0, 1564776.0)	(31.0, 3000491.0)	(32.0, 9938993.0)	(33.0, 28766457.0)	(34.0, 199163.0)										
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26_1	(18.0, 34.0)	(19.0, 310.0)	(20.0, 2214.0)	(21.0, 8201.0)	(22.0, 19905.0)	(23.0, 36374.0)	(24.0, 63870.0)	(25.0, 106299.0)	(26.0, 178469.0)	(27.0, 281754.0)	(28.0, 438920.0)	(29.0, 646127.0)	(30.0, 976541.0)	(31.0, 1575525.0)	(32.0, 4027994.0)	(33.0, 25662287.0)	(34.0, 624978.0)														
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26_2	(14.0, 2.0)	(15.0, 7.0)	(16.0, 31.0)	(17.0, 225.0)	(18.0, 1304.0)	(19.0, 4744.0)	(20.0, 12280.0)	(21.0, 21063.0)	(22.0, 32604.0)	(23.0, 48160.0)	(24.0, 76964.0)	(25.0, 122034.0)	(26.0, 195616.0)	(27.0, 298643.0)	(28.0, 462444.0)	(29.0, 700761.0)	(30.0, 1145604.0)	(31.0, 2143045.0)	(32.0, 6845140.0)	(33.0, 22331890.0)	(34.0, 207241.0)										
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27_1	(17.0, 1.0)	(18.0, 26.0)	(19.0, 306.0)	(20.0, 2108.0)	(21.0, 9192.0)	(22.0, 24681.0)	(23.0, 48814.0)	(24.0, 89063.0)	(25.0, 151045.0)	(26.0, 253571.0)	(27.0, 396460.0)	(28.0, 613692.0)	(29.0, 889028.0)	(30.0, 1335460.0)	(31.0, 2157056.0)	(32.0, 5865824.0)	(33.0, 30949925.0)	(34.0, 353900.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27_2	(15.0, 4.0)	(16.0, 36.0)	(17.0, 280.0)	(18.0, 1396.0)	(19.0, 4908.0)	(20.0, 12459.0)	(21.0, 23038.0)	(22.0, 35597.0)	(23.0, 52555.0)	(24.0, 84009.0)	(25.0, 136700.0)	(26.0, 224444.0)	(27.0, 351430.0)	(28.0, 557832.0)	(29.0, 854868.0)	(30.0, 1411904.0)	(31.0, 2680104.0)	(32.0, 9109560.0)	(33.0, 27431174.0)	(34.0, 167854.0)											
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28_1	(17.0, 3.0)	(18.0, 33.0)	(19.0, 329.0)	(20.0, 2421.0)	(21.0, 9097.0)	(22.0, 22361.0)	(23.0, 40644.0)	(24.0, 70859.0)	(25.0, 118516.0)	(26.0, 196198.0)	(27.0, 306083.0)	(28.0, 471010.0)	(29.0, 686854.0)	(30.0, 1038390.0)	(31.0, 1663529.0)	(32.0, 4307846.0)	(33.0, 24971328.0)	(34.0, 615361.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28_2	(15.0, 6.0)	(16.0, 40.0)	(17.0, 261.0)	(18.0, 1253.0)	(19.0, 4553.0)	(20.0, 12599.0)	(21.0, 24065.0)	(22.0, 40227.0)	(23.0, 61107.0)	(24.0, 96717.0)	(25.0, 148926.0)	(26.0, 233465.0)	(27.0, 346796.0)	(28.0, 524177.0)	(29.0, 775924.0)	(30.0, 1250040.0)	(31.0, 2330541.0)	(32.0, 7346527.0)	(33.0, 21145367.0)	(34.0, 178271.0)											
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3_1	(16.0, 2.0)	(17.0, 3.0)	(18.0, 49.0)	(19.0, 580.0)	(20.0, 4089.0)	(21.0, 15239.0)	(22.0, 37745.0)	(23.0, 67479.0)	(24.0, 113101.0)	(25.0, 181284.0)	(26.0, 292072.0)	(27.0, 447327.0)	(28.0, 680282.0)	(29.0, 976410.0)	(30.0, 1452708.0)	(31.0, 2282116.0)	(32.0, 5496850.0)	(33.0, 35369424.0)	(34.0, 1148338.0)												
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3_2	(13.0, 1.0)	(14.0, 8.0)	(15.0, 26.0)	(16.0, 80.0)	(17.0, 392.0)	(18.0, 1879.0)	(19.0, 7220.0)	(20.0, 18733.0)	(21.0, 35814.0)	(22.0, 59746.0)	(23.0, 92047.0)	(24.0, 145394.0)	(25.0, 223145.0)	(26.0, 345897.0)	(27.0, 508122.0)	(28.0, 753930.0)	(29.0, 1102785.0)	(30.0, 1745473.0)	(31.0, 3166719.0)	(32.0, 9721128.0)	(33.0, 30346487.0)	(34.0, 290072.0)									
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31_1	(17.0, 4.0)	(18.0, 37.0)	(19.0, 440.0)	(20.0, 2824.0)	(21.0, 10718.0)	(22.0, 26257.0)	(23.0, 47426.0)	(24.0, 81474.0)	(25.0, 133549.0)	(26.0, 218077.0)	(27.0, 335402.0)	(28.0, 515627.0)	(29.0, 748482.0)	(30.0, 1123908.0)	(31.0, 1798691.0)	(32.0, 4475567.0)	(33.0, 27559252.0)	(34.0, 815649.0)													
