Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG273 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG273_2	(11.0, 5.0)	(12.0, 164.0)	(13.0, 737.0)	(14.0, 1051.0)	(15.0, 1054.0)	(16.0, 1059.0)	(17.0, 1220.0)	(18.0, 1820.0)	(19.0, 3645.0)	(20.0, 8163.0)	(21.0, 18449.0)	(22.0, 36393.0)	(23.0, 65038.0)	(24.0, 84054.0)	(25.0, 96520.0)	(26.0, 123503.0)	(27.0, 169987.0)	(28.0, 228569.0)	(29.0, 319806.0)	(30.0, 446669.0)	(31.0, 655996.0)	(32.0, 982216.0)	(33.0, 1641090.0)	(34.0, 3064049.0)	(35.0, 7659226.0)	(36.0, 18175218.0)	(37.0, 641787.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG274 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG274_1	(15.0, 25.0)	(16.0, 67.0)	(17.0, 214.0)	(18.0, 467.0)	(19.0, 1083.0)	(20.0, 2196.0)	(21.0, 4712.0)	(22.0, 9740.0)	(23.0, 19843.0)	(24.0, 39553.0)	(25.0, 76854.0)	(26.0, 139434.0)	(27.0, 244865.0)	(28.0, 385799.0)	(29.0, 578704.0)	(30.0, 795303.0)	(31.0, 1068614.0)	(32.0, 1375110.0)	(33.0, 1887596.0)	(34.0, 2852845.0)	(35.0, 5727556.0)	(36.0, 19267159.0)	(37.0, 1127158.0)								
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG274 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG274_2	(11.0, 15.0)	(12.0, 422.0)	(13.0, 1719.0)	(14.0, 2295.0)	(15.0, 1884.0)	(16.0, 1740.0)	(17.0, 1913.0)	(18.0, 2662.0)	(19.0, 5083.0)	(20.0, 11043.0)	(21.0, 23175.0)	(22.0, 43589.0)	(23.0, 76495.0)	(24.0, 112770.0)	(25.0, 130577.0)	(26.0, 146487.0)	(27.0, 194829.0)	(28.0, 260818.0)	(29.0, 359350.0)	(30.0, 498747.0)	(31.0, 726818.0)	(32.0, 1077334.0)	(33.0, 1787882.0)	(34.0, 3294587.0)	(35.0, 8052142.0)	(36.0, 18170534.0)	(37.0, 619987.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG275 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG275_1	(14.0, 1.0)	(15.0, 9.0)	(16.0, 51.0)	(17.0, 150.0)	(18.0, 388.0)	(19.0, 866.0)	(20.0, 1803.0)	(21.0, 3945.0)	(22.0, 8171.0)	(23.0, 16527.0)	(24.0, 32619.0)	(25.0, 65186.0)	(26.0, 120823.0)	(27.0, 220734.0)	(28.0, 360233.0)	(29.0, 559610.0)	(30.0, 800523.0)	(31.0, 1110945.0)	(32.0, 1553262.0)	(33.0, 2085219.0)	(34.0, 2925230.0)	(35.0, 5947594.0)	(36.0, 20355744.0)	(37.0, 1200080.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG275 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG275_2	(11.0, 5.0)	(12.0, 258.0)	(13.0, 1129.0)	(14.0, 1665.0)	(15.0, 1689.0)	(16.0, 1530.0)	(17.0, 1749.0)	(18.0, 2410.0)	(19.0, 4739.0)	(20.0, 10294.0)	(21.0, 22205.0)	(22.0, 41602.0)	(23.0, 71772.0)	(24.0, 105020.0)	(25.0, 126856.0)	(26.0, 148761.0)	(27.0, 201019.0)	(28.0, 270788.0)	(29.0, 377354.0)	(30.0, 527883.0)	(31.0, 774221.0)	(32.0, 1155954.0)	(33.0, 1926194.0)	(34.0, 3565759.0)	(35.0, 8660464.0)	(36.0, 18788565.0)	(37.0, 579828.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG276 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG276_1	(15.0, 8.0)	(16.0, 45.0)	(17.0, 108.0)	(18.0, 265.0)	(19.0, 625.0)	(20.0, 1165.0)	(21.0, 2687.0)	(22.0, 5433.0)	(23.0, 11258.0)	(24.0, 21836.0)	(25.0, 45636.0)	(26.0, 85355.0)	(27.0, 154946.0)	(28.0, 249930.0)	(29.0, 383540.0)	(30.0, 536108.0)	(31.0, 732884.0)	(32.0, 950159.0)	(33.0, 1321969.0)	(34.0, 1979414.0)	(35.0, 3834692.0)	(36.0, 13251303.0)	(37.0, 839564.0)								
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG276 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG276_2	(11.0, 8.0)	(12.0, 191.0)	(13.0, 972.0)	(14.0, 1468.0)	(15.0, 1424.0)	(16.0, 1253.0)	(17.0, 1577.0)	(18.0, 2264.0)	(19.0, 4452.0)	(20.0, 9285.0)	(21.0, 18599.0)	(22.0, 33397.0)	(23.0, 56691.0)	(24.0, 74604.0)	(25.0, 82515.0)	(26.0, 98964.0)	(27.0, 136037.0)	(28.0, 182418.0)	(29.0, 256216.0)	(30.0, 357718.0)	(31.0, 523147.0)	(32.0, 775400.0)	(33.0, 1281329.0)	(34.0, 2347010.0)	(35.0, 5605144.0)	(36.0, 12172146.0)	(37.0, 384701.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG277 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG277_1	(15.0, 4.0)	(16.0, 47.0)	(17.0, 144.0)	(18.0, 311.0)	(19.0, 694.0)	(20.0, 1487.0)	(21.0, 3125.0)	(22.0, 6736.0)	(23.0, 14811.0)	(24.0, 30268.0)	(25.0, 61177.0)	(26.0, 113973.0)	(27.0, 203987.0)	(28.0, 327742.0)	(29.0, 498358.0)	(30.0, 694659.0)	(31.0, 959416.0)	(32.0, 1391126.0)	(33.0, 1668272.0)	(34.0, 2364355.0)	(35.0, 4778093.0)	(36.0, 16735566.0)	(37.0, 1003265.0)								
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG277 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG277_2	(11.0, 7.0)	(12.0, 235.0)	(13.0, 1036.0)	(14.0, 1450.0)	(15.0, 1401.0)	(16.0, 1212.0)	(17.0, 1372.0)	(18.0, 1997.0)	(19.0, 3834.0)	(20.0, 7883.0)	(21.0, 15653.0)	(22.0, 29663.0)	(23.0, 51508.0)	(24.0, 75822.0)	(25.0, 91053.0)	(26.0, 107133.0)	(27.0, 146050.0)	(28.0, 198969.0)	(29.0, 280264.0)	(30.0, 395630.0)	(31.0, 585047.0)	(32.0, 880876.0)	(33.0, 1482886.0)	(34.0, 2790880.0)	(35.0, 6947658.0)	(36.0, 16188312.0)	(37.0, 569785.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG278 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG278_1	(14.0, 6.0)	(15.0, 17.0)	(16.0, 77.0)	(17.0, 213.0)	(18.0, 479.0)	(19.0, 991.0)	(20.0, 2028.0)	(21.0, 4314.0)	(22.0, 8889.0)	(23.0, 18925.0)	(24.0, 37512.0)	(25.0, 74786.0)	(26.0, 138582.0)	(27.0, 243776.0)	(28.0, 389774.0)	(29.0, 585557.0)	(30.0, 807996.0)	(31.0, 1090608.0)	(32.0, 1404186.0)	(33.0, 1931207.0)	(34.0, 2928092.0)	(35.0, 5909964.0)	(36.0, 20064103.0)	(37.0, 1179252.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG278 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG278_2	(11.0, 3.0)	(12.0, 275.0)	(13.0, 1424.0)	(14.0, 2125.0)	(15.0, 1955.0)	(16.0, 1988.0)	(17.0, 2107.0)	(18.0, 2893.0)	(19.0, 5405.0)	(20.0, 10694.0)	(21.0, 21792.0)	(22.0, 42390.0)	(23.0, 77904.0)	(24.0, 103881.0)	(25.0, 110731.0)	(26.0, 137265.0)	(27.0, 189805.0)	(28.0, 256922.0)	(29.0, 359152.0)	(30.0, 503182.0)	(31.0, 736532.0)	(32.0, 1096088.0)	(33.0, 1820788.0)	(34.0, 3364409.0)	(35.0, 8242767.0)	(36.0, 19049265.0)	(37.0, 679592.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG279 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG279_1	(14.0, 2.0)	(15.0, 29.0)	(16.0, 120.0)	(17.0, 340.0)	(18.0, 660.0)	(19.0, 1407.0)	(20.0, 2705.0)	(21.0, 5658.0)	(22.0, 10432.0)	(23.0, 19423.0)	(24.0, 35003.0)	(25.0, 65427.0)	(26.0, 116259.0)	(27.0, 209939.0)	(28.0, 340326.0)	(29.0, 528917.0)	(30.0, 757572.0)	(31.0, 1057553.0)	(32.0, 1400579.0)	(33.0, 1973479.0)	(34.0, 3009631.0)	(35.0, 6009574.0)	(36.0, 20984901.0)	(37.0, 1391717.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG279 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG279_2	(11.0, 3.0)	(12.0, 131.0)	(13.0, 725.0)	(14.0, 1480.0)	(15.0, 1799.0)	(16.0, 1971.0)	(17.0, 2294.0)	(18.0, 3287.0)	(19.0, 6222.0)	(20.0, 13202.0)	(21.0, 27714.0)	(22.0, 53167.0)	(23.0, 93497.0)	(24.0, 105580.0)	(25.0, 115428.0)	(26.0, 149884.0)	(27.0, 207013.0)	(28.0, 280240.0)	(29.0, 391246.0)	(30.0, 545420.0)	(31.0, 805846.0)	(32.0, 1195255.0)	(33.0, 1971397.0)	(34.0, 3603479.0)	(35.0, 8608600.0)	(36.0, 19116916.0)	(37.0, 619857.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG280 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG280_1	(14.0, 5.0)	(15.0, 27.0)	(16.0, 99.0)	(17.0, 207.0)	(18.0, 449.0)	(19.0, 922.0)	(20.0, 1830.0)	(21.0, 3765.0)	(22.0, 7355.0)	(23.0, 14374.0)	(24.0, 26136.0)	(25.0, 49170.0)	(26.0, 87189.0)	(27.0, 152284.0)	(28.0, 241286.0)	(29.0, 367660.0)	(30.0, 515963.0)	(31.0, 705719.0)	(32.0, 922449.0)	(33.0, 1290492.0)	(34.0, 1930389.0)	(35.0, 3703313.0)	(36.0, 12103381.0)	(37.0, 770627.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG280 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG280_2	(11.0, 5.0)	(12.0, 126.0)	(13.0, 732.0)	(14.0, 1229.0)	(15.0, 1227.0)	(16.0, 1237.0)	(17.0, 1495.0)	(18.0, 2256.0)	(19.0, 4692.0)	(20.0, 10537.0)	(21.0, 22445.0)	(22.0, 40387.0)	(23.0, 66033.0)	(24.0, 89810.0)	(25.0, 105844.0)	(26.0, 128160.0)	(27.0, 170902.0)	(28.0, 223444.0)	(29.0, 303095.0)	(30.0, 410600.0)	(31.0, 587308.0)	(32.0, 847074.0)	(33.0, 1354157.0)	(34.0, 2377409.0)	(35.0, 5353678.0)	(36.0, 10494780.0)	(37.0, 296429.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG281 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG281_1	(14.0, 3.0)	(15.0, 13.0)	(16.0, 62.0)	(17.0, 192.0)	(18.0, 446.0)	(19.0, 844.0)	(20.0, 1831.0)	(21.0, 3620.0)	(22.0, 7021.0)	(23.0, 13928.0)	(24.0, 25764.0)	(25.0, 50387.0)	(26.0, 91338.0)	(27.0, 161739.0)	(28.0, 260138.0)	(29.0, 397377.0)	(30.0, 557885.0)	(31.0, 762733.0)	(32.0, 995140.0)	(33.0, 1377222.0)	(34.0, 2080355.0)	(35.0, 4153331.0)	(36.0, 14454827.0)	(37.0, 983108.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG281 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG281_2	(12.0, 96.0)	(13.0, 561.0)	(14.0, 1145.0)	(15.0, 1275.0)	(16.0, 1295.0)	(17.0, 1602.0)	(18.0, 2236.0)	(19.0, 4020.0)	(20.0, 8187.0)	(21.0, 16271.0)	(22.0, 31099.0)	(23.0, 55762.0)	(24.0, 66783.0)	(25.0, 68528.0)	(26.0, 86112.0)	(27.0, 121164.0)	(28.0, 166687.0)	(29.0, 236143.0)	(30.0, 334462.0)	(31.0, 496821.0)	(32.0, 748780.0)	(33.0, 1250941.0)	(34.0, 2322854.0)	(35.0, 5753290.0)	(36.0, 14074895.0)	(37.0, 528295.0)					
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG282 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG282_1	(14.0, 3.0)	(15.0, 17.0)	(16.0, 91.0)	(17.0, 240.0)	(18.0, 538.0)	(19.0, 1297.0)	(20.0, 2818.0)	(21.0, 6291.0)	(22.0, 13009.0)	(23.0, 26659.0)	(24.0, 51049.0)	(25.0, 98798.0)	(26.0, 178563.0)	(27.0, 318857.0)	(28.0, 516786.0)	(29.0, 797448.0)	(30.0, 1133229.0)	(31.0, 1572137.0)	(32.0, 2080145.0)	(33.0, 2947536.0)	(34.0, 4540512.0)	(35.0, 8932711.0)	(36.0, 28181475.0)	(37.0, 1473569.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG282 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG282_2	(11.0, 7.0)	(12.0, 238.0)	(13.0, 1225.0)	(14.0, 2273.0)	(15.0, 2658.0)	(16.0, 2658.0)	(17.0, 2986.0)	(18.0, 4268.0)	(19.0, 8305.0)	(20.0, 19124.0)	(21.0, 40866.0)	(22.0, 76942.0)	(23.0, 133279.0)	(24.0, 163439.0)	(25.0, 194877.0)	(26.0, 254923.0)	(27.0, 349783.0)	(28.0, 468393.0)	(29.0, 650262.0)	(30.0, 900987.0)	(31.0, 1310503.0)	(32.0, 1925125.0)	(33.0, 3141248.0)	(34.0, 5647340.0)	(35.0, 12950893.0)	(36.0, 24063997.0)	(37.0, 557179.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG283 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG283_1	(14.0, 3.0)	(15.0, 22.0)	(16.0, 76.0)	(17.0, 234.0)	(18.0, 540.0)	(19.0, 1255.0)	(20.0, 2807.0)	(21.0, 6007.0)	(22.0, 12556.0)	(23.0, 25648.0)	(24.0, 49829.0)	(25.0, 97871.0)	(26.0, 178913.0)	(27.0, 323548.0)	(28.0, 522859.0)	(29.0, 806703.0)	(30.0, 1140898.0)	(31.0, 1576751.0)	(32.0, 2072675.0)	(33.0, 2917674.0)	(34.0, 4397872.0)	(35.0, 8774057.0)	(36.0, 27139250.0)	(37.0, 1326955.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG283 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG283_2	(11.0, 14.0)	(12.0, 446.0)	(13.0, 1998.0)	(14.0, 2629.0)	(15.0, 2360.0)	(16.0, 2101.0)	(17.0, 2323.0)	(18.0, 3598.0)	(19.0, 7589.0)	(20.0, 18017.0)	(21.0, 39708.0)	(22.0, 73927.0)	(23.0, 122977.0)	(24.0, 174665.0)	(25.0, 221920.0)	(26.0, 274845.0)	(27.0, 371131.0)	(28.0, 489900.0)	(29.0, 668088.0)	(30.0, 913725.0)	(31.0, 1314320.0)	(32.0, 1915198.0)	(33.0, 3099730.0)	(34.0, 5540124.0)	(35.0, 12649868.0)	(36.0, 22953354.0)	(37.0, 510448.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG284 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG284_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 15.0)	(16.0, 39.0)	(17.0, 139.0)	(18.0, 368.0)	(19.0, 692.0)	(20.0, 1514.0)	(21.0, 3151.0)	(22.0, 6568.0)	(23.0, 13626.0)	(24.0, 27153.0)	(25.0, 54013.0)	(26.0, 98349.0)	(27.0, 171793.0)	(28.0, 271867.0)	(29.0, 405987.0)	(30.0, 559465.0)	(31.0, 760299.0)	(32.0, 1021301.0)	(33.0, 1449820.0)	(34.0, 1931680.0)	(35.0, 3838149.0)	(36.0, 13186165.0)	(37.0, 811217.0)						
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG284 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG284_2	(11.0, 6.0)	(12.0, 221.0)	(13.0, 1155.0)	(14.0, 1743.0)	(15.0, 1688.0)	(16.0, 1496.0)	(17.0, 1752.0)	(18.0, 2530.0)	(19.0, 4664.0)	(20.0, 9303.0)	(21.0, 19054.0)	(22.0, 36378.0)	(23.0, 64124.0)	(24.0, 86119.0)	(25.0, 88352.0)	(26.0, 102197.0)	(27.0, 137839.0)	(28.0, 184785.0)	(29.0, 255606.0)	(30.0, 353727.0)	(31.0, 512669.0)	(32.0, 756534.0)	(33.0, 1243692.0)	(34.0, 2260509.0)	(35.0, 5434771.0)	(36.0, 12595053.0)	(37.0, 457404.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG285 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG285_1	(13.0, 1.0)	(14.0, 2.0)	(15.0, 24.0)	(16.0, 102.0)	(17.0, 260.0)	(18.0, 565.0)	(19.0, 1164.0)	(20.0, 2379.0)	(21.0, 4854.0)	(22.0, 9449.0)	(23.0, 17570.0)	(24.0, 31549.0)	(25.0, 58409.0)	(26.0, 101234.0)	(27.0, 174293.0)	(28.0, 274876.0)	(29.0, 415531.0)	(30.0, 582362.0)	(31.0, 799690.0)	(32.0, 1054448.0)	(33.0, 1542793.0)	(34.0, 2186992.0)	(35.0, 4178417.0)	(36.0, 13188067.0)	(37.0, 779977.0)						
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG285 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG285_2	(11.0, 3.0)	(12.0, 222.0)	(13.0, 1202.0)	(14.0, 2087.0)	(15.0, 2310.0)	(16.0, 2426.0)	(17.0, 2941.0)	(18.0, 4226.0)	(19.0, 7730.0)	(20.0, 15229.0)	(21.0, 31419.0)	(22.0, 60226.0)	(23.0, 112537.0)	(24.0, 142788.0)	(25.0, 115847.0)	(26.0, 122331.0)	(27.0, 163717.0)	(28.0, 217591.0)	(29.0, 300325.0)	(30.0, 412960.0)	(31.0, 599344.0)	(32.0, 872691.0)	(33.0, 1414652.0)	(34.0, 2504405.0)	(35.0, 5698289.0)	(36.0, 12156322.0)	(37.0, 441188.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG286 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG286_1	(14.0, 2.0)	(15.0, 8.0)	(16.0, 36.0)	(17.0, 118.0)	(18.0, 325.0)	(19.0, 670.0)	(20.0, 1475.0)	(21.0, 3062.0)	(22.0, 6419.0)	(23.0, 13844.0)	(24.0, 27809.0)	(25.0, 55977.0)	(26.0, 103143.0)	(27.0, 181012.0)	(28.0, 286921.0)	(29.0, 431973.0)	(30.0, 597885.0)	(31.0, 819908.0)	(32.0, 1196756.0)	(33.0, 1453824.0)	(34.0, 2050603.0)	(35.0, 4186552.0)	(36.0, 14409751.0)	(37.0, 825491.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG286 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG286_2	(11.0, 2.0)	(12.0, 227.0)	(13.0, 1016.0)	(14.0, 1454.0)	(15.0, 1403.0)	(16.0, 1229.0)	(17.0, 1456.0)	(18.0, 2120.0)	(19.0, 4144.0)	(20.0, 9279.0)	(21.0, 19175.0)	(22.0, 35971.0)	(23.0, 61501.0)	(24.0, 89630.0)	(25.0, 107227.0)	(26.0, 123494.0)	(27.0, 164183.0)	(28.0, 218567.0)	(29.0, 299880.0)	(30.0, 413262.0)	(31.0, 598401.0)	(32.0, 878977.0)	(33.0, 1438483.0)	(34.0, 2620228.0)	(35.0, 6219807.0)	(36.0, 12952365.0)	(37.0, 390083.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG287 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG287_1	(14.0, 4.0)	(15.0, 17.0)	(16.0, 79.0)	(17.0, 247.0)	(18.0, 646.0)	(19.0, 1298.0)	(20.0, 2918.0)	(21.0, 6524.0)	(22.0, 13255.0)	(23.0, 26924.0)	(24.0, 51615.0)	(25.0, 98813.0)	(26.0, 179135.0)	(27.0, 318902.0)	(28.0, 513797.0)	(29.0, 795160.0)	(30.0, 1132822.0)	(31.0, 1575161.0)	(32.0, 2115488.0)	(33.0, 3136560.0)	(34.0, 4463338.0)	(35.0, 8679821.0)	(36.0, 26507289.0)	(37.0, 1316562.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG287 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG287_2	(11.0, 3.0)	(12.0, 378.0)	(13.0, 1857.0)	(14.0, 2664.0)	(15.0, 2604.0)	(16.0, 2415.0)	(17.0, 2768.0)	(18.0, 4322.0)	(19.0, 9668.0)	(20.0, 22867.0)	(21.0, 48602.0)	(22.0, 86700.0)	(23.0, 139223.0)	(24.0, 190737.0)	(25.0, 238601.0)	(26.0, 294018.0)	(27.0, 388782.0)	(28.0, 508674.0)	(29.0, 691862.0)	(30.0, 941585.0)	(31.0, 1355244.0)	(32.0, 1982414.0)	(33.0, 3217524.0)	(34.0, 5760366.0)	(35.0, 12914433.0)	(36.0, 21663345.0)	(37.0, 464719.0)				
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG288 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG288_1	(14.0, 4.0)	(15.0, 60.0)	(16.0, 168.0)	(17.0, 407.0)	(18.0, 929.0)	(19.0, 1838.0)	(20.0, 3336.0)	(21.0, 6502.0)	(22.0, 12099.0)	(23.0, 22751.0)	(24.0, 40537.0)	(25.0, 73160.0)	(26.0, 124342.0)	(27.0, 208015.0)	(28.0, 323128.0)	(29.0, 479010.0)	(30.0, 661380.0)	(31.0, 896482.0)	(32.0, 1180256.0)	(33.0, 1680946.0)	(34.0, 2319410.0)	(35.0, 4561420.0)	(36.0, 14737114.0)	(37.0, 837228.0)							
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG288 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG288_2	(11.0, 3.0)	(12.0, 251.0)	(13.0, 1201.0)	(14.0, 1602.0)	(15.0, 1585.0)	(16.0, 1540.0)	(17.0, 1799.0)	(18.0, 2676.0)	(19.0, 5361.0)	(20.0, 11928.0)	(21.0, 24746.0)	(22.0, 44525.0)	(23.0, 72070.0)	(24.0, 101494.0)	(25.0, 126724.0)	(26.0, 148008.0)	(27.0, 192672.0)	(28.0, 252625.0)	(29.0, 342994.0)	(30.0, 467684.0)	(31.0, 671567.0)	(32.0, 979018.0)	(33.0, 1586172.0)	(34.0, 2836226.0)	(35.0, 6540307.0)	(36.0, 13357060.0)	(37.0, 398684.0)				
